id,question,answer,qa_text
1,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？","如果您购买的商品符合七天无理由退换货条件且不影响二次销售，可以支持退货。

运费方面：如果是质量问题，商家承担合理运费；如果是非质量问题退货，可能需要您承担寄回运费。","Question:
请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？

Answer:
如果您购买的商品符合七天无理由退换货条件且不影响二次销售，可以支持退货。

运费方面：如果是质量问题，商家承担合理运费；如果是非质量问题退货，可能需要您承担寄回运费。"
2,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？","您好，售后维修服务主要覆盖产品在保修期内出现的非人为性能故障，优先免费处理。

如果是人为损坏，也可以咨询维修，建议您先寄回检测。具体是否收费以及费用金额，会根据专业检测结果确定。如果需要初步评估，可提供故障照片或视频。","Question:
我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？

Answer:
您好，售后维修服务主要覆盖产品在保修期内出现的非人为性能故障，优先免费处理。

如果是人为损坏，也可以咨询维修，建议您先寄回检测。具体是否收费以及费用金额，会根据专业检测结果确定。如果需要初步评估，可提供故障照片或视频。"
3,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？",您好，我们支持开具发票。发票类型默认为电子普通发票，如需增值税专用发票请特别说明。开具后一般1-3个工作日内发送到您的邮箱。请提供您需要的发票类型（个人或企业）及完整抬头信息，以便尽快处理。,"Question:
请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？

Answer:
您好，我们支持开具发票。发票类型默认为电子普通发票，如需增值税专用发票请特别说明。开具后一般1-3个工作日内发送到您的邮箱。请提供您需要的发票类型（个人或企业）及完整抬头信息，以便尽快处理。"
4,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？","别担心，收到商品发现包装破损可以这样处理：

1. **保留凭证**：请保留破损包装、面单和商品原样，并拍下清晰照片（破损处、面单、商品整体）。
2. **联系我们**：将订单号和照片发给我们，核实后如果是运输造成的破损，我们会安排补发、换货或退款，运费由我们承担。
3. **关于退换货**：包装破损本身不影响正常的退换货权益。只要商品本身未因此脏污、损坏影响二次销售，七天无理由退换仍适用；若商品也受损，按质量问题处理。

请先提供订单号和破损照片，我们马上为您跟进。","Question:
我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？

Answer:
别担心，收到商品发现包装破损可以这样处理：

1. **保留凭证**：请保留破损包装、面单和商品原样，并拍下清晰照片（破损处、面单、商品整体）。
2. **联系我们**：将订单号和照片发给我们，核实后如果是运输造成的破损，我们会安排补发、换货或退款，运费由我们承担。
3. **关于退换货**：包装破损本身不影响正常的退换货权益。只要商品本身未因此脏污、损坏影响二次销售，七天无理由退换仍适用；若商品也受损，按质量问题处理。

请先提供订单号和破损照片，我们马上为您跟进。"
6,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？",您好，退款会按原支付方式退回，信用卡支持原路返回。到账时间受银行处理进度影响，具体以发卡行实际入账为准。如有其他疑问，随时联系我们。,"Question:
我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？

Answer:
您好，退款会按原支付方式退回，信用卡支持原路返回。到账时间受银行处理进度影响，具体以发卡行实际入账为准。如有其他疑问，随时联系我们。"
7,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,非常抱歉给您带来不好的体验。商品颜色与宣传图偏差较大，我们会尽快核实处理。请您保留好商品和包装，并提供：1. 您的订单号；2. 收到的商品与宣传图的清晰对比照片，能看出颜色差异。收到凭证后，我们会为您提交售后核实，确认为描述不符后，可为您办理退换，运费由我们承担。,"Question:
我收到的商品和图片不一样，颜色偏差很大，我要投诉！

Answer:
非常抱歉给您带来不好的体验。商品颜色与宣传图偏差较大，我们会尽快核实处理。请您保留好商品和包装，并提供：1. 您的订单号；2. 收到的商品与宣传图的清晰对比照片，能看出颜色差异。收到凭证后，我们会为您提交售后核实，确认为描述不符后，可为您办理退换，运费由我们承担。"
8,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,"非常抱歉给您带来不好的体验。请您提供以下信息以便我们加急核实处理：
- 订单号或购买凭证；
- 具体哪个功能与宣传不一致，烦请简要说明；
- 相关截图或视频。

收到后我们会第一时间核查，若确认属实将按平台规则为您退换或补偿，绝不推诿。","Question:
你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！

Answer:
非常抱歉给您带来不好的体验。请您提供以下信息以便我们加急核实处理：
- 订单号或购买凭证；
- 具体哪个功能与宣传不一致，烦请简要说明；
- 相关截图或视频。

收到后我们会第一时间核查，若确认属实将按平台规则为您退换或补偿，绝不推诿。"
9,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,非常抱歉补发延迟给您带来不便。根据售后政策，少件需要您提供订单号和商品包装图片，我马上为您核实并加急跟进补发。,"Question:
我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！

Answer:
非常抱歉补发延迟给您带来不便。根据售后政策，少件需要您提供订单号和商品包装图片，我马上为您核实并加急跟进补发。"
10,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,非常抱歉给您带来不便。请提供维修单号或订单号和送修时的联系方式，我们立刻帮您加急核实进度，协调优先处理并尽快告知预计完成时间。,"Question:
你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！

Answer:
非常抱歉给您带来不便。请提供维修单号或订单号和送修时的联系方式，我们立刻帮您加急核实进度，协调优先处理并尽快告知预计完成时间。"
11,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,您好，非常理解您的困扰。请您提供订单号，并拍摄商品包装上能清晰看到生产日期或保质期标签的图片。收到后我们会尽快核实并协助您处理。,"Question:
你们的商品保质期有问题，我收到的商品还有1个月就过期了！

Answer:
您好，非常理解您的困扰。请您提供订单号，并拍摄商品包装上能清晰看到生产日期或保质期标签的图片。收到后我们会尽快核实并协助您处理。"
12,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,很抱歉给您带来这么不愉快的经历。我们非常重视您的投诉，需要请您提供以下信息以便立即向物流公司正式交涉：订单号、事发具体时间，以及快递员姓名或工号（如有）。我们会在内部重点记录并积极跟进。,"Question:
你们的快递员态度特别差，送货时还辱骂我，我要投诉！

Answer:
很抱歉给您带来这么不愉快的经历。我们非常重视您的投诉，需要请您提供以下信息以便立即向物流公司正式交涉：订单号、事发具体时间，以及快递员姓名或工号（如有）。我们会在内部重点记录并积极跟进。"
